DATE,HOUR,TEMPERATURE (°C),WIND SPEED (m/s),WIND DIRECTION (degree),Obukov L [m],,,,
01/01/2017,00:00,-3,3,205.9,-128.305,,,,
01/01/2017,01:00,-2.9,2.6,212.2,-127.305,,,,
01/01/2017,02:00,-2.9,2.5,208.1,-156.72,,,,
01/01/2017,03:00,-2.9,2.3,191.1,-230.14,,,,
01/01/2017,04:00,-2.7,2.2,198.9,-79.07,,,,
01/01/2017,05:00,-2.5,2.4,193.8,-80.855,,,,
01/01/2017,06:00,-2.5,2.5,194.3,-74.005,,,,
01/01/2017,07:00,-2.8,2.7,202.7,-66.105,,,,
01/01/2017,08:00,-3.8,3.2,213.9,-82.255,,,,
01/01/2017,09:00,-4.3,3.3,211.7,-165.6,,,,
01/01/2017,10:00,-3.8,2.9,206.2,-153.73,,,,
01/01/2017,11:00,-3.2,2.8,201.2,-84.755,,,,
01/01/2017,12:00,-2.4,3.1,208.6,-72.74,,,,
01/01/2017,13:00,-1.9,3.1,200.5,-240.21,,,,
01/01/2017,14:00,-1.7,3.2,199.7,-270.35,,,,
01/01/2017,15:00,-1.5,3.2,201.7,-272.48,,,,
01/01/2017,16:00,-1.4,3.2,203.5,2520.75,,,,
01/01/2017,17:00,-1.1,2.8,207.7,497.845,,,,
01/01/2017,18:00,-0.9,3.3,210.6,190.095,,,,
01/01/2017,19:00,-1,3.2,212,768.065,,,,
01/01/2017,20:00,-1,3.3,210.3,991.41,,,,
01/01/2017,21:00,-0.9,3.3,208,-13503.4,,,,
01/01/2017,22:00,-0.7,3.4,211,2479.81,,,,
01/01/2017,23:00,-0.5,2.1,241.1,3808.94,,,,
02/01/2017,00:00,-0.5,1.6,247.6,3808.94,,,,
02/01/2017,01:00,-0.4,1.6,251.6,3808.94,,,,
02/01/2017,02:00,-0.3,1.7,252.7,3808.94,,,,
02/01/2017,03:00,-0.3,1.5,249.1,3808.94,,,,
02/01/2017,04:00,-0.3,1.3,261.7,3808.94,,,,
02/01/2017,05:00,-0.2,1.4,257.2,3808.94,,,,
02/01/2017,06:00,-0.1,1.4,259.5,3808.94,,,,
02/01/2017,07:00,-0.1,1.5,261.6,-384.49,,,,
02/01/2017,08:00,-0.1,1.3,282.4,-81.17,,,,
02/01/2017,09:00,0,0.9,281.4,-81.17,,,,
02/01/2017,10:00,0,1.2,263.2,-81.17,,,,
02/01/2017,11:00,0,1.7,256,-81.17,,,,
02/01/2017,12:00,0.1,1.2,252.9,-81.17,,,,
02/01/2017,13:00,0.1,1.1,237.9,-67.27,,,,
02/01/2017,14:00,0.4,1.1,238.9,-39.61,,,,
02/01/2017,15:00,-0.1,1.2,214.9,-6.125,,,,
02/01/2017,16:00,-0.7,1.6,236.3,-60.28,,,,
02/01/2017,17:00,-0.4,1.6,250.5,-12.92,,,,
02/01/2017,18:00,-0.5,1.7,243.7,12.46,,,,
02/01/2017,19:00,-0.5,1.8,252.8,250.455,,,,
02/01/2017,20:00,-0.2,1.8,234.1,71.65,,,,
02/01/2017,21:00,-0.7,1.8,237.6,49.66,,,,
02/01/2017,22:00,-1,2.1,244.2,19.215,,,,
02/01/2017,23:00,-0.7,2.1,253.8,37.155,,,,
03/01/2017,00:00,-0.8,1.7,239.9,19.75,,,,
03/01/2017,01:00,-0.5,1.8,229.4,-13.46,,,,
03/01/2017,02:00,-0.9,2.1,220.3,-10.47,,,,
03/01/2017,03:00,-1.4,1.7,230.6,37.005,,,,
03/01/2017,04:00,-1.6,2,226.3,112.97,,,,
03/01/2017,05:00,-1.6,2,239,52.06,,,,
03/01/2017,06:00,-1.7,2.1,234.3,52.06,,,,
03/01/2017,07:00,-1.7,2.3,234.7,52.06,,,,
03/01/2017,08:00,-1.3,2.8,235.6,52.06,,,,
03/01/2017,09:00,-0.6,3.3,229.2,52.06,,,,
03/01/2017,10:00,0.2,3.5,228.4,52.06,,,,
03/01/2017,11:00,1,3.6,229.1,-142.22,,,,
03/01/2017,12:00,1.8,4,229.9,-328.59,,,,
03/01/2017,13:00,1.7,3.2,233.2,-199.03,,,,
03/01/2017,14:00,1.7,4.4,228.4,-298.07,,,,
03/01/2017,15:00,1.9,4.6,226.4,-432.72,,,,
03/01/2017,16:00,1.9,4.4,230.1,355.46,,,,
03/01/2017,17:00,1.9,4.8,231.6,181.615,,,,
03/01/2017,18:00,2,4.1,237.4,454.41,,,,
03/01/2017,19:00,2.1,4.1,237.1,940.075,,,,
03/01/2017,20:00,1.8,4.3,236,309.67,,,,
03/01/2017,21:00,2,3.5,240,941.275,,,,
03/01/2017,22:00,2.2,4,239.8,328.185,,,,
03/01/2017,23:00,2.6,4.3,243.5,386.155,,,,
04/01/2017,00:00,2.7,3.9,242.4,568.975,,,,
04/01/2017,01:00,2.8,3.5,241.3,465.41,,,,
04/01/2017,02:00,3.1,4.5,247.8,-10088.2,,,,
04/01/2017,03:00,3.2,4.7,247.6,523.83,,,,
04/01/2017,04:00,2.8,4.2,248.3,213.96,,,,
04/01/2017,05:00,2.9,3.9,247.5,213.96,,,,
04/01/2017,06:00,3.3,4.1,255.9,213.96,,,,
04/01/2017,07:00,3.9,3.9,262.2,213.96,,,,
04/01/2017,08:00,4.4,3.8,282.1,213.96,,,,
04/01/2017,09:00,4.7,5.1,316.9,213.96,,,,
04/01/2017,10:00,4.8,3.8,294.4,213.96,,,,
04/01/2017,11:00,5.4,3.5,291.7,117.145,,,,
04/01/2017,12:00,6.4,5.2,315.6,-369.1,,,,
04/01/2017,13:00,4.7,6.4,315.3,-76.28,,,,
04/01/2017,14:00,4.3,4.6,309.3,-76.28,,,,
04/01/2017,15:00,4,4.3,310.1,-76.28,,,,
04/01/2017,16:00,3.2,2.9,289,-76.28,,,,
04/01/2017,17:00,3,3.5,303.8,20.05,,,,
04/01/2017,18:00,2.3,2.2,278.2,29.58,,,,
04/01/2017,19:00,2.6,3.1,300.1,18.075,,,,
04/01/2017,20:00,2.8,2.8,294.2,29.1,,,,
04/01/2017,21:00,2,2.4,273.7,4.28,,,,
04/01/2017,22:00,1.9,2.4,281.3,10.805,,,,
04/01/2017,23:00,1.3,2.1,290.1,5.265,,,,
05/01/2017,00:00,0.9,2.3,293.1,4.55,,,,
05/01/2017,01:00,1.2,2.3,306.9,5.89,,,,
05/01/2017,02:00,1.2,2.6,299.6,5.855,,,,
05/01/2017,03:00,0.9,2.1,293,6.11,,,,
05/01/2017,04:00,1.5,2.4,326.4,6.41,,,,
