Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
27-05-2025;00:00:00;28-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Afname Dag;0,424;kWh;Uitgelezen;Zonnepanelen
27-05-2025;00:00:00;28-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Zonnepanelen
27-05-2025;00:00:00;28-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Afname Nacht;0,454;kWh;Uitgelezen;Zonnepanelen
27-05-2025;00:00:00;28-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Zonnepanelen
28-05-2025;00:00:00;29-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Afname Dag;2,017;kWh;Uitgelezen;Zonnepanelen
28-05-2025;00:00:00;29-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Zonnepanelen
28-05-2025;00:00:00;29-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Afname Nacht;0,519;kWh;Uitgelezen;Zonnepanelen
28-05-2025;00:00:00;29-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Zonnepanelen
29-05-2025;00:00:00;30-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Afname Dag;0,914;kWh;Uitgelezen;Zonnepanelen
29-05-2025;00:00:00;30-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Zonnepanelen
29-05-2025;00:00:00;30-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Afname Nacht;0,576;kWh;Uitgelezen;Zonnepanelen
29-05-2025;00:00:00;30-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Zonnepanelen
30-05-2025;00:00:00;31-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Afname Dag;0,871;kWh;Uitgelezen;Zonnepanelen
30-05-2025;00:00:00;31-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;Zonnepanelen
30-05-2025;00:00:00;31-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Afname Nacht;0,501;kWh;Uitgelezen;Zonnepanelen
30-05-2025;00:00:00;31-05-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;Zonnepanelen
31-05-2025;00:00:00;01-06-2025;00:00:00;="541448820043562075";1SAG1100625708;Digitale meter;Afname Dag;0,000;kWh;Uitgelezen;Zonnepanelen
